Media Outlet,Ad Instance Date Time (EST),Ad Length,Net Cleared,P25-54 Imps +3 (Actual),CPM,Ad,Program,Program Genre,Feed,Market,Attributes,Ad Instance ID
TURNER NETWORK TELEVISION,7/3/2021 18:28,:15,3825,587,6.516183986,How Does Your Credit Grow 15,Star Wars Episode III: Revenge of the Sith,action/adventure / drama / fantasy / modernized copy / other / prequel / sci-fi / sequel,Dual,National,,33402881
ANIMAL PLANET,7/3/2021 18:36,:30,136,34.8,3.908045977,Open Sesame 30,The Zoo,animals / behind-the-scenes / reality / season copy / wildlife,Dual,National,LOC,33402855
TURNER NETWORK TELEVISION,7/3/2021 19:19,:15,3825,668,5.726047904,Open Sesame 15,Star Wars Episode III: Revenge of the Sith,action/adventure / drama / fantasy / modernized copy / other / prequel / sci-fi / sequel,Dual,National,,33402884
CARTOON NETWORK,7/3/2021 19:29,:30,935,65,14.38461538,How Does Your Credit Grow 30,Amazing World of Gumball,animated / Comedy / family / other / preteen / Variety,Dual,National,,33402841
AMERICAN MOVIE CLASSICS,7/3/2021 19:44,:30,153,45,3.4,How Does Your Credit Grow 30,Die Hard 2,action/adventure / crime drama / guy flick / modernized copy / sequel / suspense/thriller,Dual,National,LOC,33402829
ANIMAL PLANET,7/3/2021 20:45,:30,127.5,36,3.541666667,How Does Your Credit Grow 30,Crikey! It's the Irwins,action/adventure / animals / Documentary / family / nature / reality / Travel / wildlife,Dual,National,LOC,33402849
ANIMAL PLANET,7/3/2021 21:27,:30,127.5,29.1,4.381443299,Open Sesame 30,Crikey! It's the Irwins: Extra Bites,action/adventure / animals / Documentary / family / nature / reality / Travel / wildlife,Dual,National,LOC,33402851
QUEST,7/3/2021 21:32,:30,85,,,How Does Your Credit Grow 30,Shipping Wars,Documentary / entertainment / reality / serial / trading / Variety,Live,National,,33402890
AMERICAN MOVIE CLASSICS,7/3/2021 22:25,:30,153,40.4,3.787128713,Open Sesame 30,Die Hard with a Vengeance,action/adventure / crime / entertainment / guy flick / modernized copy / sequel / suspense/thriller,Dual,National,LOC,33402830
Court TV Mystery,7/3/2021 22:34,:30,170,105,1.619047619,How Does Your Credit Grow 30,CSI: Crime Scene Investigation,action/adventure / crime / crime drama / drama / mystery & suspense / police / season copy / suspense/thriller,Live,National,,33402831
ANIMAL PLANET,7/3/2021 22:38,:30,127.5,19.5,6.538461538,How Does Your Credit Grow 30,The Zoo,animals / behind-the-scenes / Documentary / reality / season copy / wildlife,Dual,National,LOC,33402850
ARTS & ENTERTAINMENT,7/3/2021 22:42,:30,365.5,11.85,30.84388186,Open Sesame 30,Pain & Gain,action/adventure / Comedy / crime / drama / mystery / suspense/thriller,Dual,National,LOC,33402845
WEATHER CHANNEL,7/3/2021 23:46,:30,72.25,20,3.6125,Open Sesame 30,Highway Thru Hell,auto info / Documentary / reality,Live,National,LOC,33402866
ARTS & ENTERTAINMENT,7/5/2021 0:16,:30,0,73,0,How Does Your Credit Grow 30,Garth Brooks: The Road I'm On,country music / Documentary / profile,Dual,National,,33406731
TURNER NETWORK TELEVISION,7/5/2021 1:08,:30,2337.5,203,11.51477833,Open Sesame 30,Star Wars: Episode VI - Return of the Jedi,action/adventure / children / family / fantasy / modernized copy / sci-fi / sequel,Dual,National,,33406707
WEATHER CHANNEL,7/5/2021 1:53,:30,0,20,0,How Does Your Credit Grow 30,Storm Stories: The Next Chapter,Documentary / Weather,Live,National,LOC,33406724
TURNER NETWORK TELEVISION,7/5/2021 2:12,:30,2337.5,110,21.25,How Does Your Credit Grow 30,Charmed,drama / fantasy,Dual,National,,33406706
VH1,7/5/2021 2:23,:30,595,80,7.4375,How Does Your Credit Grow 30,Nick Cannon Presents: Wild 'N Out,Comedy / entertainment / reality competition / sketch comedy / stand-up comedy,Dual,National,,33406710
TURNER NETWORK TELEVISION,7/5/2021 2:49,:30,2337.5,83,28.1626506,Open Sesame 30,Charmed,drama / fantasy,Dual,National,,33406708
VH1,7/5/2021 3:06,:30,595,80,7.4375,Open Sesame 30,Nick Cannon Presents: Wild 'N Out,Comedy / entertainment / reality competition / sketch comedy / stand-up comedy,Dual,National,,33406711
CNN,7/4/2021 8:10,:30,850,94,9.042553191,How Does Your Credit Grow 30,Inside Politics With Abby Phillip,other / Politics / talk,Live,National,,33402824
HOME & GARDEN TELEVISION,7/4/2021 8:43,:30,595,20.2,29.45544554,Open Sesame 30,Home Town,home & garden / home projects / real estate / season premiere,Dual,National,LOC,33402874
CNN,7/4/2021 8:48,:30,850,87,9.770114943,Open Sesame 30,Inside Politics With Abby Phillip,other / Politics / talk,Live,National,,33402825
WE TV,7/4/2021 10:16,:30,182.75,11.6,15.75431034,How Does Your Credit Grow 30,NCIS,action/adventure / Comedy / crime / crime drama / drama / military / mystery & suspense / pilot / police / season copy / season premiere / series premiere / spin-off / suspense/thriller,Dual,National,LOC,33402856
ARTS & ENTERTAINMENT,7/4/2021 12:50,:30,195.5,24.75,7.898989899,How Does Your Credit Grow 30,The Inside Story,Documentary / entertainment,Dual,National,LOC,33402847
HOME & GARDEN TELEVISION,7/4/2021 17:23,:30,680,47.4,14.34599156,How Does Your Credit Grow 30,Home Town,home & garden / home projects / real estate,Dual,National,LOC,33402871
TURNER NETWORK TELEVISION,7/4/2021 18:13,:15,3825,270,14.16666667,How Does Your Credit Grow 15,Star Wars: Episode VI - Return of the Jedi,action/adventure / children / family / fantasy / modernized copy / sci-fi / sequel,Dual,National,,33402882
Court TV Mystery,7/4/2021 18:18,:30,170,76,2.236842105,Open Sesame 30,CSI: Miami,crime drama / drama / spin-off,Live,National,,33402834
OWN: OPRAH WINFREY NETWORK,7/4/2021 19:14,:30,85,2.7,31.48148148,Open Sesame 30,20/20 on OWN,crime / investigative journalism / newsmagazine,Dual,National,LOC,33402840
ANIMAL PLANET,7/4/2021 19:22,:30,136,23.7,5.738396624,How Does Your Credit Grow 30,North Woods Law,animals / crime / outdoors / reality,Dual,National,LOC,33402854
CARTOON NETWORK,7/4/2021 19:44,:30,935,68,13.75,Open Sesame 30,Amazing World of Gumball,animated / Comedy / family / other / preteen,Dual,National,,33402842
TURNER NETWORK TELEVISION,7/4/2021 19:45,:15,3825,252,15.17857143,Open Sesame 15,Star Wars: Episode VI - Return of the Jedi,action/adventure / children / family / fantasy / modernized copy / sci-fi / sequel,Dual,National,,33402885
OWN: OPRAH WINFREY NETWORK,7/4/2021 19:46,:30,85,2.1,40.47619048,How Does Your Credit Grow 30,20/20 on OWN,crime / investigative journalism / newsmagazine,Dual,National,LOC,33402839
ARTS & ENTERTAINMENT,7/4/2021 20:13,:30,365.5,9.6,38.07291667,How Does Your Credit Grow 30,Garth Brooks: The Road I'm On,country music / Documentary / profile,Dual,National,LOC,33402844
FX MOVIE CHANNEL,7/4/2021 21:19,:30,433.5,33,13.13636364,Open Sesame 30,Independence Day: Resurgence,action/adventure / sci-fi / sequel / war,Dual,National,,33402860
FX MOVIE CHANNEL,7/4/2021 21:59,:30,433.5,38,11.40789474,How Does Your Credit Grow 30,Independence Day: Resurgence,action/adventure / sci-fi / sequel / war,Dual,National,,33402858
FX MOVIE CHANNEL,7/4/2021 22:38,:30,433.5,40,10.8375,Open Sesame 30,Independence Day: Resurgence,action/adventure / sci-fi / sequel / war,Dual,National,,33402861
QUEST,7/4/2021 22:48,:30,85,,,Open Sesame 30,American Restoration,entertainment / history / hobbies & crafts / other / reality,Live,National,,33402891
ANIMAL PLANET,7/4/2021 23:11,:30,127.5,20.4,6.25,Open Sesame 30,North Woods Law,animals / outdoors / reality,Dual,National,LOC,33402852
WEATHER CHANNEL,7/4/2021 23:17,:30,72.25,12,6.020833333,How Does Your Credit Grow 30,Weird Earth,Documentary / environment / nature,Live,National,LOC,33402865
FX MOVIE CHANNEL,7/4/2021 23:27,:30,433.5,52,8.336538462,How Does Your Credit Grow 30,Independence Day: Resurgence,action/adventure / sci-fi / sequel / war,Dual,National,,33402859
Court TV Mystery,7/4/2021 23:32,:30,170,81,2.098765432,How Does Your Credit Grow 30,CSI: Miami,crime drama / drama / Politics / spin-off,Live,National,,33402832
Court TV Mystery,7/4/2021 23:48,:30,170,81,2.098765432,Open Sesame 30,CSI: Miami,crime drama / drama / Politics / spin-off,Live,National,,33402835
DISCOVERY CHANNEL,7/6/2021 0:42,:30,85,21.2,4.009433962,Open Sesame 30,Street Outlaws,auto info / auto racing / extreme sports / reality / season copy,Dual,National,LOC,33424045
ADULT SWIM,7/6/2021 0:58,:30,170,48,3.541666667,Open Sesame 30,Adult Swim,Animation,Live,National,LOC,33424048
DISCOVERY CHANNEL,7/6/2021 1:22,:30,85,20,4.25,How Does Your Credit Grow 30,Street Outlaws,auto info / auto racing / extreme sports / reality / season copy,Dual,National,LOC,33424044
ADULT SWIM,7/6/2021 1:29,:30,170,39.4,4.314720812,How Does Your Credit Grow 30,Adult Swim,Animation,Live,National,LOC,33424047
WEATHER CHANNEL,7/6/2021 1:52,:30,0,8.8,0,Open Sesame 30,Storm Stories: The Next Chapter,Documentary / Weather,Live,National,LOC,33424053
